
text,label
"Urgent: verify your account immediately. Click here to verify your account - Ref #1",phishing
"Your bank account has been suspended. Verify now using the secure link - Ref #2",phishing
"Congratulations! You are a winner. Click here to claim your free prize. Code: WIN3",phishing
"Security alert: unusual activity detected on your account. Verify your identity now.",phishing
"Password reset required. Click here to reset your password and secure your account.",phishing
"Update billing information to avoid service interruption. Click to update - Ref #6",phishing
"Important: confirm your payment details to avoid suspension. Click here.",phishing
"Please verify your identity by clicking the link below to continue using your account.",phishing
"Free gift card available — click here to claim before it expires. Code: FREE8",phishing
"Action required: confirm your account now to avoid deactivation. Reference #9",phishing
"Urgent: your mailbox will be deactivated. Verify now to keep access. Ref #10",phishing
"Click here to claim your reward voucher worth $500. Limited time offer. Ref #11",phishing
"Your payment was declined. Please update billing information immediately.",phishing
"We've detected a login from a new device. Verify it's you by clicking this link.",phishing
"Winner notification: you have been selected. Click here to accept your prize. #14",phishing
"Free subscription available — follow this link to activate. Ref #15",phishing
"Confirm your account details to avoid security restrictions. Click now.",phishing
"Important security update: reset your password here. Immediate action required.",phishing
"Verify your identity to release a pending payment. Click the secure link.",phishing
"Account suspended: verify information to restore access. Click here. #19",phishing
"Urgent notification: billing info required. Click to update your account. #20",phishing
"Click here to confirm your prize claim and provide shipping details. #21",phishing
"Security notice: suspicious sign-in detected. Verify to prevent account lock. #22",phishing
"Reset your password now to keep your account secure. Follow this link. #23",phishing
"You've been selected for a free trial. Click here to claim it. #24",phishing
"Action required: your account will be closed unless you verify now. #25",phishing
"Verify payment to receive your pending refund. Click the link. #26",phishing
"Free rewards waiting: click here to redeem. Offer ends soon. #27",phishing
"Urgent: confirm recipient details to release funds. Click now. #28",phishing
"Your account has unusual activity. Verify access immediately using this link. #29",phishing
"Click here to update your contact information and avoid service suspension. #30",phishing
"You have a pending invoice refund. Verify to claim. Click here. #31",phishing
"Congratulations! You won an exclusive offer. Click to claim. #32",phishing
"Account security alert: confirm your password to continue. Click here. #33",phishing
"Verify your identity to avoid transaction reversal. Follow link. #34",phishing
"Free bonus available — click here to accept. Limited spots. #35",phishing
"Immediate action required: verify payment method to avoid interruption. #36",phishing
"Click here to confirm your delivery details and claim the package. #37",phishing
"Important: update your account settings to keep service active. #38",phishing
"You've been chosen as a winner. Provide details via this link. #39",phishing
"Security alert: change your password immediately via the provided link. #40",phishing
"Verify billing to prevent account suspension. Click to update. #41",phishing
"Click here to confirm your subscription and receive free credits. #42",phishing
"Urgent: suspicious activity requires verification. Click the secure link. #43",phishing
"Your package is on hold. Click here to confirm delivery address. #44",phishing
"Free entry: click to register and claim your reward. #45",phishing
"Confirm your account now to avoid service termination. Click here. #46",phishing
"Verify your payment details to receive an important notice. Click now. #47",phishing
"Security notice: update your credentials to avoid lockout. Click here. #48",phishing
"Congratulations! Claim your free voucher by clicking here. #49",phishing
"Immediate verification required: confirm identity here to proceed. #50",phishing
"Click here to update your contact and secure your account. #51",phishing
"Free gift inside — click to see your reward. Offer limited. #52",phishing
"Your account is at risk. Reset password via this link immediately. #53",phishing
"Verify payment to avoid interruption of services. Click here. #54",phishing
"Win a prize! Click to enter and claim your reward. #55",phishing
"Urgent action: confirm recent transaction to prevent chargeback. #56",phishing
"Click here to confirm your email and unlock an exclusive offer. #57",phishing
"Security: verify account details to prevent unauthorized access. #58",phishing
"Free trial activation: click here to start now. #59",phishing
"Your password will expire. Reset it now through this secure link. #60",phishing
"Account verification required to receive your funds. Click here. #61",phishing
"Click to confirm your identity and collect your prize. #62",phishing
"Urgent billing update required — click here to avoid suspension. #63",phishing
"Verify your account to enable new features. Click the link. #64",phishing
"Free cashback offer — claim now by clicking here. #65",phishing
"Security alert: please verify this activity by following the link. #66",phishing
"Click here to confirm your delivery and avoid return fees. #67",phishing
"Immediate: update your payment info to continue service. #68",phishing
"You've won! Click to claim your gift card. #69",phishing
"Verify your mobile number to secure your account. Click link. #70",phishing
"Free upgrade available — click here to accept. #71",phishing
"Action required: confirm your details to receive an important message. #72",phishing
"Click here to confirm recent changes to your account. #73",phishing
"Security notice: verify your account to remove restrictions. #74",phishing
"Urgent: your identity must be verified to complete the transfer. #75",phishing
"Claim your free reward by clicking this link. Limited offer. #76",phishing
"Verify billing information immediately to avoid fees. Click here. #77",phishing
"Click to reset password and secure your account now. #78",phishing
"Congratulations, you're a winner. Provide details through this link. #79",phishing
"Verify your email to receive an important notice from our bank. #80",phishing
"Free gift card waiting — click to claim before it expires. #81",phishing
"Urgent security update: confirm your credentials now. #82",phishing
"Click here to complete your prize claim form. #83",phishing
"Immediate verification: confirm your account to proceed with payment. #84",phishing
"Your account has been flagged. Verify to restore full access. #85",phishing
"Free access to premium features — click to activate. #86",phishing
"Verify identity to accept important documents. Click the link. #87",phishing
"Click here to verify your account and avoid penalties. #88",phishing
"Urgent: confirm transaction details now to avoid reversal. #89",phishing
"Claim your reward now by following this secure link. #90",phishing
"Security alert: suspicious login. Verify via this link immediately. #91",phishing
"Free donation gift card — click here to receive. #92",phishing
"Verify your account to receive your pending payout. Click here. #93",phishing
"Click here to verify and update your shipping address. #94",phishing
"Immediate: reset your password using the link to avoid lockout. #95",phishing
"Urgent verification required to complete your registration. #96",phishing
"Click here to confirm your identity and claim the voucher. #97",phishing
"Free bonus credits available — click to claim now. #98",phishing
"Verify payment method to prevent interruption. Click link. #99",phishing
"Security alert: please confirm your recent activity. Click here. #100",phishing
"You are a selected winner. Click here to provide shipping details. #101",phishing
"Urgent: action required on your account. Verify immediately. #102",phishing
"Click here to verify your identity and receive a reward. #103",phishing
"Free access code available — click the link to redeem. #104",phishing
"Important: confirm payment details to receive refund. Click now. #105",phishing
"Security notice: verify your credentials to avoid suspension. #106",phishing
"Click here to accept special offer and receive free items. #107",phishing
"Urgent: confirm email subscription to avoid cancellation. #108",phishing
"Verify your account for enhanced security. Click here. #109",phishing
"Winner announcement: click to claim your prize. #110",phishing
"Click here to confirm the transfer and authorize payment. #111",phishing
"Immediate action: update billing details to continue service. #112",phishing
"Free reward waiting — claim it now by clicking here. #113",phishing
"Verify your identity to unlock a special offer. Click here. #114",phishing
"Security alert: verify recent login to keep your account safe. #115",phishing
"Click here to claim exclusive cashback rewards. #116",phishing
"Urgent: confirm your information to release funds. #117",phishing
"Free prize inside — click this link to collect. #118",phishing
"Verify your account to accept the pending shipment. Click here. #119",phishing
"Click here to reset your password and confirm your identity. #120",phishing
"Important: click to verify your identity to receive payment. #121",phishing
"Security update required: verify credentials now. #122",phishing
"Free gift offer — follow the link to claim. #123",phishing
"Click here to confirm your order and avoid delay. #124",phishing
"Urgent verification: confirm your account details immediately. #125",phishing
"Verify your phone number to secure your account. Click link. #126",phishing
"Click here to accept a limited-time reward. #127",phishing
"Security alert: please verify this sign-in attempt. #128",phishing
"Free trial gift available — claim by clicking here. #129",phishing
"Verify your account to receive special rewards. Click now. #130",phishing
"Click here to confirm your refund and provide bank details. #131",phishing
"Urgent action: validate your identity to unlock funds. #132",phishing
"Free prize claim: click here to submit your details. #133",phishing
"Verify your payment details to avoid suspension. Click here. #134",phishing
"Click here to complete your registration and claim a bonus. #135",phishing
"Security notice: change your password via this link immediately. #136",phishing
"Urgent: confirm your account to prevent unauthorized charges. #137",phishing
"Click here to claim your reward card and verify shipping. #138",phishing
"Free gift inside — click here to accept. #139",phishing
"Verify identity now to receive urgent communication. Click here. #140",phishing
"Click here to confirm your contact and secure delivery. #141",phishing
"Security alert: update credentials to avoid account lock. #142",phishing
"Free coupon available — click to redeem. #143",phishing
"Verify your account details to accept the transfer. Click here. #144",phishing
"Click here to confirm payment for pending invoice. #145",phishing
"Urgent verification needed to claim your prize. Click here. #146",phishing
"Free reward code — follow the link to activate. #147",phishing
"Verify identity via this link to receive an important notice. #148",phishing
"Click here to confirm your subscription and get a free gift. #149",phishing
"Security notice: please verify your recent changes. Click here. #150",phishing
"Urgent: update your billing to continue service. Click link. #151",phishing
"Click here to claim exclusive prize from our sponsor. #152",phishing
"Verify your account to access limited offers. Click now. #153",phishing
"Free entry to sweepstakes — claim by clicking here. #154",phishing
"Security alert: validate your credentials to remain active. #155",phishing
"Click here to confirm your order and receive a bonus. #156",phishing
"Urgent verification: confirm identity to receive payment. #157",phishing
"Free membership available — click to activate. #158",phishing
"Verify your email to unlock exclusive content. Click here. #159",phishing
"Click here to claim your gift certificate and verify address. #160",phishing
"Important: confirm payment details to prevent account hold. #161",phishing
"Security message: reset your password via this link. #162",phishing
"Free bonus reward — click now to redeem. #163",phishing
"Verify your account to stop pending suspension. Click here. #164",phishing
"Click here to confirm your prize eligibility and provide info. #165",phishing
